Provinsi,2011,2012,2013,2014,2015,2016,2017,2018
Aceh,329257,356132,371838,406835,415354,451952,529162,547668
Sumatera Utara,316343,344467,363363,398932,414566,472220,522766,554754
Sumatera Barat,358338,390870,419853,461404,472428,537236,584045,604871
Riau,385949,432511,468503,481965,495322,556747,603401,599873
Jambi,324197,336737,377133,403659,428457,464381,538360,555989
Sumatera Selatan,300453,308027,353213,390807,379945,446364,507673,503297
Bengkulu,294975,330123,348161,384146,413263,447384,523329,548879
Lampung,261519,283870,314408,340844,382368,412617,467940,478452
Kepulauan Bangka Belitung,391606,418496,491121,551960,578812,596381,721045,710401
Kepulauan Riau,431248,470371,508569,574814,602071,681525,759544,747944
DKI Jakarta,457669,519028,603269,623186,615486,692207,797828,847847
Jawa Barat,297590,340757,371881,380224,425883,477814,562767,600967
Jawa Tengah,229775,262761,281921,319872,330646,371605,421515,460891
DI Yogyakarta,276323,327241,353778,335550,365012,434004,490249,529012
Jawa Timur,245743,255081,286962,339175,380993,427191,476861,502761
Banten,328623,370088,420422,455522,483956,532389,623084,672918
Bali,326490,330963,449048,471149,421577,465993,569168,599976
Nusa Tenggara Barat,248690,291176,316656,366885,355034,410112,457616,525091
Nusa Tenggara Timur,222575,228660,240207,267584,298180,312312,399251,402922
Kalimantan Barat,312711,351590,367018,420130,426381,451222,519469,535534
Kalimantan Tengah,375767,388822,418274,495159,494858,546306,621622,632493
Kalimantan Selatan,373301,380306,440803,456699,470450,531127,612237,626241
Kalimantan Timur,405490,450614,477325,516036,549351,587920,663535,702905
Kalimantan Utara 1),?,?,?,?,511272,549467,667280,671612
Sulawesi Utara,306126,344033,379814,395996,426278,484938,594833,560514
Sulawesi Tengah,287260,313730,320823,360961,383546,420182,480987,474811
Sulawesi Selatan,260240,286410,302903,330220,359187,407389,450618,495465
Sulawesi Tenggara,240739,271348,284683,291923,329208,371733,409857,457497
Gorontalo,256106,269533,276334,338353,326512,380934,441999,423926
Sulawesi Barat,225501,236901,278355,280751,330890,357586,393943,433929
Maluku,283407,320271,336750,388284,420732,431484,485033,491426
Maluku Utara,281916,286031,337639,367971,421216,413580,486734,502810
Papua Barat,367893,354867,416901,445820,512796,482624,551032,614330
Papua,330865,356651,379876,487272,473382,524592,638354,623987
